Nickname,StudentFileLink,StudentFileLinkOrig,TitleOrFilename,FolderName,FolderLink,ParentFolder
betaNaphthol,https://drive.google.com/file/d/1gjtq92XUsHI7NMJKhae-D_kJGppLGomc/view?usp=drive_link,https://drive.google.com/file/d/0B9eKUY5kLiYoOEtCa3JVbGxOOHM/view?usp=drive_link&resourcekey=0-jDHzmDGwdrbSBM_KIRb10g,How Does A Molecule's Electronic State Affect It's Acidity,Acidity of Electronic States (Beta-Naphthol),https://drive.google.com/drive/folders/0BwUsdna_LmGjQlE1d3FrTElEeGM?resourcekey=0-85Zir63xm47QqA53sG0xmA&usp=drive_link,Experiments ready to use
appleEnzyme,https://drive.google.com/file/d/167ejPPaZdYZPbXqYhB8fhpdnfuZfrnuD/view?usp=drive_link,https://drive.google.com/file/d/1BAfQCC_NcUX30sCckQHd1DjzLTvkdrfH/view?usp=drive_link,How Should Apples be Prepared for a Fruit Salad?,Apple Enzyme Kinetics,https://drive.google.com/drive/folders/1SNnw8tISMeCj2JhtvVM9BDWuvcOkcsns?usp=drive_link,Experiments ready to use
binarySolidMixtures,https://drive.google.com/file/d/1bj9Ht7qob-IcR8w1bJTBy-lyEpZ1eLZB/view?usp=drive_link,https://drive.google.com/file/d/0B9eKUY5kLiYoUEF5a1FVY1NJRDg/view?usp=drive_link&resourcekey=0-lASErr-4lXmuj-T8nZB89g,How Is The Freezing Point Of A Binary Mixture Of Solids Related To The Composition Of The Mixture?,Binary Solid Mixtures (Fatty Acids),https://drive.google.com/drive/folders/0B9eKUY5kLiYoeF84ZVVmc1VkWVE?resourcekey=0-FCQ15oUiWz5obObTz9cEig&usp=drive_link,Experiments ready to use
dissolutionIonic,https://drive.google.com/file/d/1MQlwzzxlbmA-6v--i9DxRrUh59BMgab4/view?usp=drive_link,https://drive.google.com/file/d/1kqjeeUoLruPWinCH_-f8PiBdveTMnGIt/view?usp=drive_link,What factors affect the dissolution enthalpies of ionic compounds,Dissolution of an Ionic Compound (calorimetry),https://drive.google.com/drive/folders/12NrE2bsX9MsgkpMuniwWccxYv0CZ-2Lr?usp=drive_link,Experiments ready to use
escapabilityMolecule,https://drive.google.com/file/d/1cB_SHWNY7UBEYCdWut_I_j94fisRBRAm/view?usp=drive_link,https://drive.google.com/file/d/1MnlHyAVikmAnplWKJelAX1yT3H5A_omJ/view?usp=drive_link,What factors govern the escapability of a molecule from a liquid?,Escapability of molecule (molecular dynamics),https://drive.google.com/drive/folders/1ykA2E5XLE9fj_v4mURvLCiHIsyURaEew?usp=drive_link,Experiments ready to use
MgHCl,https://drive.google.com/file/d/1zfy9U6LqshQPMcRXAlnib9-U7toOshQq/view?usp=drive_link,https://drive.google.com/file/d/0B9eKUY5kLiYoY3NObXRZa3FXR0k/view?usp=drive_link&resourcekey=0-Jzpyr-23ttyXePywbkf-0A,What are the kinetic parameters of a heterogeneous reaction,Heterogeneous Reaction Kinetics (Mg-HCl),https://drive.google.com/drive/folders/0B9eKUY5kLiYoT1hXRFRFRWxrTXc?resourcekey=0-Gvu8yLsWbjumgivYl-G1mQ&usp=drive_link,Experiments ready to use
myoglobinUnfolding,https://drive.google.com/file/d/1qZ2KrG3noenpX4MGTCG6u8e7Tm-bVYUc/view?usp=drive_link,https://drive.google.com/file/d/12ACz6aaxEec8QuPi193DiAAA9072tS4u/view?usp=drive_link,Does myoglobin unfold in the body?,How does Myoglobin Unfold,https://drive.google.com/drive/folders/1rlwoPxwZrD1-cFfkKvHShWWob702ziJw?usp=drive_link,Experiments ready to use
hAtom,https://drive.google.com/file/d/1-X02wsvUuriaBwt8zD1kwUZkvc8hAbK7/view?usp=drive_link,https://drive.google.com/file/d/1EhYn2OQi54VAbDQyMm-qdCPtiC3g4Mle/view?usp=drive_link,What does the emission spectrum of the hydrogen atom reveal about its energy levels?,Hydrogen Atom,https://drive.google.com/drive/folders/0BwUsdna_LmGjTlByeTBaQXZTdm8?resourcekey=0-5PO-3jXo2D3LmQC7htuKRg&usp=drive_link,Experiments ready to use
nmrKetoEnol,https://drive.google.com/file/d/1wNlgoF64BwnMRj4R9zHOq9S_w6eCvbnY/view?usp=drive_link,https://drive.google.com/file/d/1-YgvS2M_vYA1uUfkCsnaS07IAVyFzoX3/view?usp=drive_link,What environmental factors affect an NMR spectrum,NMR of a Keto-Enol System,https://drive.google.com/drive/folders/18dSTlLsTP17LWEDw_hpg-XfBCi5NdL23?usp=drive_link,Experiments ready to use
pyreneExcimer,https://drive.google.com/file/d/161HowAWUF-BEQoEgBVJf9MF73HgHBU-I/view?usp=drive_link,https://drive.google.com/file/d/1jKKGwUqmw2_DBXfNO2kVv-oZw_hIIfEe/view?usp=drive_link,What does the Fluorescence Spectrum of an Excimer tell you about its thermodynamics,Pyrene Excimer,https://drive.google.com/drive/folders/1yWA-suYtLHijjtVPCk0kGNGuRLxvu3eo?usp=drive_link,Experiments ready to use
